leg_no,anzahl_personal,person_1_name,person_1_att1,person_1_att2,person_1_att3,person_1_ca,person_1_cp,person_2_name,person_2_att1,person_2_att2,person_2_att3,person_2_ca,person_2_cp,person_3_name,person_3_att1,person_3_att2,person_3_att3,person_3_ca,person_3_cp,person_4_name,person_4_att1,person_4_att2,person_4_att3,person_4_ca,person_4_cp,person_5_name,person_5_att1,person_5_att2,person_5_att3,person_5_ca,person_5_cp,person_6_name,person_6_att1,person_6_att2,person_6_att3,person_6_ca,person_6_cp,person_7_name,person_7_att1,person_7_att2,person_7_att3,person_7_ca,person_7_cp,person_8_name,person_8_att1,person_8_att2,person_8_att3,person_8_ca,person_8_cp,person_9_name,person_9_att1,person_9_att2,person_9_att3,person_9_ca,person_9_cp,crew_group_A,crew_group_B,crew_group_B2,crew_group_C,crew_group_Start,change_person_1,change_person_2,change_person_3,change_person_4,change_person_5,change_person_6,change_person_7,change_person_8,change_person_9
272022734,6,Sabrina Wallace,nan,nan,nan,1,0,Derek Allison,nan,nan,nan,1,0,Taylor Dawson,nan,nan,nan,1,0,Allison Yoder,nan,nan,nan,0,1,Jo Brown,nan,nan,nan,1,0,Jennifer Mcdowell,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272002023,6,Matthew Fry,nan,nan,nan,0,1,Jose Nolan,nan,nan,nan,1,0,Richard Meza,nan,nan,nan,1,0,Michael Moore PhD,nan,nan,nan,0,1,Philip Anderson,nan,nan,nan,1,0,Joyce Bishop,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272034482,5,Frederick Ramirez,nan,nan,nan,0,1,Ariel Williams,nan,nan,nan,1,0,Jim Thompson,nan,nan,nan,0,1,Melissa Walker,nan,nan,nan,1,0,Mason Williams,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272006826,5,Matthew King,nan,nan,nan,0,1,Jonathan Francis,nan,nan,nan,1,0,Carmen Hardy,nan,nan,nan,1,0,Kendra Andersen,nan,nan,nan,0,1,Jennifer Welch,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272033720,4,Heather Ryan,nan,nan,nan,1,0,Jeff Hays,nan,nan,nan,0,1,Chloe Marshall,nan,nan,nan,1,0,Kimberly Blair,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272101088,6,Nathan Jackson,nan,nan,nan,1,0,Angela Howard,nan,nan,nan,0,1,Derrick Santiago,nan,nan,nan,1,0,Carrie Craig,nan,nan,nan,1,0,Sean Powell,nan,nan,nan,0,1,Thomas Garcia,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272100613,5,Katherine Davis,nan,nan,nan,0,1,Jennifer Berry,nan,nan,nan,1,0,David Lewis,nan,nan,nan,0,1,Linda Smith,nan,nan,nan,1,0,Robert Garrett,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272187794,5,Parker Kent,nan,nan,nan,0,1,Michelle Logan,nan,nan,nan,1,0,Beverly Baker DVM,nan,nan,nan,0,1,James Decker,nan,nan,nan,1,0,Julie Carey,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272212666,6,Morgan Melendez,nan,nan,nan,1,0,Kyle Mcdonald,nan,nan,nan,1,0,Barry Stephens,nan,nan,nan,1,0,Michael Johnson,nan,nan,nan,1,0,Donald Cruz,nan,nan,nan,0,1,Joseph Watts,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272196923,5,Edward Robinson,nan,nan,nan,0,1,John Mcdonald,nan,nan,nan,1,0,Candace Lee PhD,nan,nan,nan,1,0,Erika Brown,nan,nan,nan,0,1,Joseph Davis,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271955575,6,Ashley Davis,nan,nan,nan,1,0,Matthew Jones,nan,nan,nan,0,1,Ashley Torres,nan,nan,nan,1,0,James Le,nan,nan,nan,0,1,Charles Martin,nan,nan,nan,1,0,Sandra Russell,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272191079,6,Stephanie Rowe,nan,nan,nan,1,0,Amanda Johnson,nan,nan,nan,1,0,Laura Nash,nan,nan,nan,0,1,Thomas Villa,nan,nan,nan,0,1,William Johnston,nan,nan,nan,1,0,Jimmy Marsh,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271975116,4,Joseph Banks,nan,nan,nan,1,0,Ashley Howell,nan,nan,nan,0,1,George Baker,nan,nan,nan,0,1,Aaron Stokes,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271979824,5,Alexander Carter,nan,nan,nan,1,0,Brian Peterson,nan,nan,nan,1,0,Darryl Medina,nan,nan,nan,0,1,Shawn Gordon,nan,nan,nan,0,1,Mark Sanders,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272009389,4,Thomas Young,nan,nan,nan,0,1,Cynthia Gutierrez,nan,nan,nan,0,1,Megan Webb,nan,nan,nan,1,0,Jennifer Goodman,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271980424,5,Craig Stone,nan,nan,nan,0,1,Daniel Gray,nan,nan,nan,1,0,Haley Schmidt,nan,nan,nan,1,0,Michael Kennedy,nan,nan,nan,0,1,Albert Watson,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271961154,5,Curtis Cross,nan,nan,nan,1,0,Christopher Martinez,nan,nan,nan,1,0,Jose Branch,nan,nan,nan,1,0,Jacqueline Ball,nan,nan,nan,0,1,Christine Lane,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271987826,6,Cynthia Butler,nan,nan,nan,1,0,Monique Hall,nan,nan,nan,0,1,Michelle Byrd,nan,nan,nan,0,1,Christina Adams,nan,nan,nan,1,0,Karen King,nan,nan,nan,1,0,Caroline Mcclure,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272205857,4,Lawrence Ramos,nan,nan,nan,1,0,Courtney Miller,nan,nan,nan,0,1,Laura Pham MD,nan,nan,nan,0,1,Richard Hernandez DDS,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272016390,6,Victoria Alexander,nan,nan,nan,1,0,Jason Vargas,nan,nan,nan,0,1,Lindsey Pitts,nan,nan,nan,1,0,Brian Gomez,nan,nan,nan,0,1,Darrell Jordan,nan,nan,nan,1,0,Jacqueline Carter,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272011925,4,Belinda Hall,nan,nan,nan,0,1,Tyler Preston,nan,nan,nan,0,1,Ms. Melissa Robbins,nan,nan,nan,1,0,Michael Dean,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271967952,5,Omar Nixon,nan,nan,nan,0,1,Donald Gregory,nan,nan,nan,1,0,Donna Vazquez,nan,nan,nan,0,1,Brianna Porter,nan,nan,nan,1,0,Ashlee Smith MD,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271989296,6,Joseph Myers,nan,nan,nan,0,1,Ricardo Johnson,nan,nan,nan,0,1,Candice Johnson,nan,nan,nan,1,0,Rhonda Sutton,nan,nan,nan,1,0,Shawn Bowman,nan,nan,nan,1,0,Michael Juarez,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271970962,6,Jose Lane,nan,nan,nan,1,0,Mallory Ellis,nan,nan,nan,0,1,Tara Hawkins,nan,nan,nan,1,0,Nicole Elliott,nan,nan,nan,1,0,Kendra Morales,nan,nan,nan,1,0,Carrie Hubbard,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271983866,5,Frederick Smith,nan,nan,nan,0,1,Doris Ramos,nan,nan,nan,1,0,Nathan Sharp,nan,nan,nan,0,1,Michelle Nicholson,nan,nan,nan,1,0,Tracy David,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272188284,5,Heather Campbell,nan,nan,nan,1,0,Henry Rose,nan,nan,nan,0,1,Allen Sullivan,nan,nan,nan,0,1,Jesse Reed,nan,nan,nan,1,0,Steven Smith,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271992570,6,Ariana Turner,nan,nan,nan,1,0,Christopher Lopez,nan,nan,nan,0,1,Cassandra Villanueva,nan,nan,nan,1,0,Marissa Edwards,nan,nan,nan,1,0,Kathleen Shields,nan,nan,nan,1,0,Anne Wagner,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271985376,6,Glen Webb,nan,nan,nan,1,0,Christine Gomez,nan,nan,nan,0,1,Stanley Pace,nan,nan,nan,1,0,Christian Allen,nan,nan,nan,0,1,Deanna Meyer,nan,nan,nan,1,0,Elizabeth Kim,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271984663,4,Alex Pittman,nan,nan,nan,0,1,Kimberly Blair,12,32,35,0,1,Heather Ryan,12,32,35,1,0,Chloe Marshall,12,32,35,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,cp,ca,ca,,,,,,
272217396,4,William Harris,nan,nan,nan,0,1,Bradley Smith,nan,nan,nan,1,0,Eric Hoffman,nan,nan,nan,0,1,James Cordova,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271978206,5,Julia Holloway,nan,nan,nan,0,1,Gary Benjamin,nan,nan,nan,1,0,Timothy Serrano,nan,nan,nan,1,0,Michael Frost,nan,nan,nan,0,1,Robert Williams,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272013334,5,Connie Le,nan,nan,nan,1,0,James Mckenzie,nan,nan,nan,0,1,Nancy Parker,nan,nan,nan,1,0,Mark Russo,nan,nan,nan,1,0,Shawn Miller,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271957109,6,Matthew Alvarez,nan,nan,nan,1,0,Kevin Martin,nan,nan,nan,1,0,Matthew Stone,nan,nan,nan,1,0,Jessica Cook,nan,nan,nan,0,1,Crystal Pena,nan,nan,nan,0,1,Katherine Brennan,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271981054,6,Rebecca Walter,nan,nan,nan,1,0,Lauren Parsons,nan,nan,nan,1,0,Connor Pineda,nan,nan,nan,1,0,Mark Brewer,nan,nan,nan,1,0,Randall Johnson,nan,nan,nan,0,1,Michael Daniel,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271999073,6,Miss Kimberly Powell MD,nan,nan,nan,1,0,Kenneth Lewis,nan,nan,nan,1,0,Kimberly Ford,nan,nan,nan,1,0,Jennifer Pitts MD,nan,nan,nan,0,1,Mark Robinson,nan,nan,nan,1,0,Shane Mclean,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271982456,7,Jeffrey Walsh,nan,nan,nan,1,0,Alexandria Wright,nan,nan,nan,0,1,Sophia Oconnor,nan,nan,nan,0,1,Mary Jones,nan,nan,nan,1,0,Charles Bradford,nan,nan,nan,1,0,Rhonda Jackson,nan,nan,nan,1,0,Angela Stevens,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272001196,4,Brittany Vazquez,nan,nan,nan,1,0,Samantha Anderson,nan,nan,nan,0,1,Robert Olson,nan,nan,nan,1,0,Catherine Sandoval,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272000084,5,Alicia Valencia,nan,nan,nan,1,0,Steve Johnston,nan,nan,nan,0,1,Sonya Jones,nan,nan,nan,1,0,Andrew Rios,nan,nan,nan,0,1,Jacob Nelson,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271963788,5,Jeremy Vaughan,nan,nan,nan,0,1,Diane Cook,nan,nan,nan,0,1,Ronald Price,nan,nan,nan,1,0,Lauren Martinez,nan,nan,nan,1,0,Julie West,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272194591,6,Rachel Smith,nan,nan,nan,0,1,Jessica Holmes,nan,nan,nan,1,0,Cathy Meyer,nan,nan,nan,1,0,Mikayla Harris,nan,nan,nan,0,1,Charles Watson,nan,nan,nan,1,0,Toni Rodriguez,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272174581,4,Dr. Michael King,nan,nan,nan,0,1,Tony Wood,nan,nan,nan,1,0,Douglas Peck,nan,nan,nan,1,0,Cody Braun,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271976796,5,Tina Bond,nan,nan,nan,1,0,Kelli Goodwin,nan,nan,nan,0,1,Danielle Thomas,nan,nan,nan,0,1,Karen Perez,nan,nan,nan,1,0,Robert Howard,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271994234,5,Melissa Stewart,nan,nan,nan,0,1,Jennifer Allen,nan,nan,nan,0,1,Charles Castillo,nan,nan,nan,1,0,Stephanie Robinson,nan,nan,nan,1,0,Christine Ramirez,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271963378,6,Daniel Rangel,nan,nan,nan,1,0,Kara Allen,nan,nan,nan,0,1,Rodney Vargas,nan,nan,nan,1,0,Jennifer Sanford,nan,nan,nan,1,0,Christina Hernandez,nan,nan,nan,0,1,Tyler Welch,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271961698,5,Kevin Bowman,nan,nan,nan,0,1,Ariel Williams,13,64,55,1,0,Mason Williams,13,64,55,1,0,Melissa Walker,13,64,55,1,0,Jim Thompson,13,64,55,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,ca,ca,ca,cp,,,,,
272170971,4,Carol Johnston,nan,nan,nan,1,0,Brian Beck,nan,nan,nan,1,0,Jacob Payne,nan,nan,nan,0,1,Derek Sweeney,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271997045,6,Steven Blair,nan,nan,nan,1,0,Tina Booker,nan,nan,nan,0,1,Eileen Rice,nan,nan,nan,0,1,Andrea Alvarez,nan,nan,nan,1,0,Kristy Yates,nan,nan,nan,1,0,Tina Myers,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272015551,5,David Diaz,nan,nan,nan,1,0,Amanda Orr,nan,nan,nan,0,1,Veronica Acosta,nan,nan,nan,1,0,Alexander Gonzalez,nan,nan,nan,0,1,Mary Chavez,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272183505,6,Jason Randall,nan,nan,nan,1,0,Michael Murphy,nan,nan,nan,1,0,Dawn Dunn,nan,nan,nan,1,0,Sarah Allen,nan,nan,nan,0,1,Kyle Melendez,nan,nan,nan,0,1,Barbara Miller,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271998448,6,Paula Andersen,nan,nan,nan,0,1,Casey Silva,nan,nan,nan,1,0,Rachel Brown,nan,nan,nan,1,0,Cynthia Jackson,nan,nan,nan,0,1,Anne Olson,nan,nan,nan,1,0,Bobby Mack,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271958402,5,Donna Hernandez,nan,nan,nan,0,1,Johnny Evans,nan,nan,nan,1,0,Ashley Singleton,nan,nan,nan,0,1,Megan Mata,nan,nan,nan,1,0,Joan Martin,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272101850,6,Jeffrey Brown,8,53,50,1,0,Hannah Holland,8,53,50,1,0,Adam Hoffman,8,53,50,1,0,Sarah Keith,8,53,50,0,1,Emily Blair,8,53,50,1,0,Holly Roberts,8,53,50,0,1,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
272207093,4,Thomas Young,25,33,40,0,1,Megan Webb,25,33,40,1,0,Jennifer Goodman,25,33,40,1,0,Cynthia Gutierrez,25,33,40,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
271959452,5,Donna Weber,nan,nan,nan,1,0,Robert Rodgers,nan,nan,nan,0,1,Frederick Ramirez,13,104,95,0,1,Monica Thomas,nan,nan,nan,1,0,Phillip Wilson,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,True,False,cp,,,,,,,,
272031744,5,Jesse Cline,nan,nan,nan,1,0,Gregory Barron,nan,nan,nan,1,0,Breanna Thomas,nan,nan,nan,0,1,Susan Brooks,nan,nan,nan,1,0,Andrew Sanders,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272217336,6,Brian Porter,6,51,40,1,0,Brian Miller,6,51,40,0,1,Andrew Perez,6,51,40,1,0,Dean Welch,6,51,40,0,1,Lisa Wilson,6,51,40,1,0,Aaron Walker,6,51,40,1,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
272030914,5,Ricky Mendoza,nan,nan,nan,0,1,Jessica Arias,nan,nan,nan,1,0,Kevin Dunn,nan,nan,nan,1,0,Amanda Hernandez,nan,nan,nan,1,0,Alexander Hood,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271955785,6,James Le,19,43,40,0,1,Sandra Russell,19,43,40,1,0,Ashley Torres,19,43,40,1,0,Matthew Jones,19,43,40,0,1,Charles Martin,19,43,40,1,0,Ashley Davis,19,43,40,1,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
272206037,4,Courtney Miller,26,32,40,0,1,Lawrence Ramos,26,32,40,1,0,Laura Pham MD,26,32,40,0,1,Richard Hernandez DDS,26,32,40,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
271989916,6,Ashley Berger,nan,nan,nan,1,0,Elizabeth Schwartz,nan,nan,nan,0,1,Courtney Hernandez,nan,nan,nan,1,0,William Ewing,nan,nan,nan,1,0,Kathryn George,nan,nan,nan,1,0,Adam Bell,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271971966,5,Julie Carey,17,71,60,1,0,Michelle Logan,17,71,60,1,0,James Decker,17,71,60,1,0,Beverly Baker DVM,17,71,60,0,1,Parker Kent,17,71,60,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
272034630,4,Dean Cooper,nan,nan,nan,1,0,Brooke Duncan,nan,nan,nan,0,1,Stuart Avila,nan,nan,nan,1,0,David Williams,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272197103,5,John Mcdonald,24,46,45,1,0,Edward Robinson,24,46,45,0,1,Joseph Davis,24,46,45,1,0,Erika Brown,24,46,45,0,1,Candace Lee PhD,24,46,45,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
271975326,4,Aaron Stokes,20,68,60,1,0,Ashley Howell,20,68,60,0,1,Joseph Banks,20,68,60,1,0,George Baker,20,68,60,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
272101118,6,Carrie Craig,22,11,45,1,0,Thomas Garcia,22,11,45,1,0,Derrick Santiago,22,11,45,1,0,Nathan Jackson,22,11,45,1,0,Angela Howard,22,11,45,0,1,Sean Powell,22,11,45,0,1,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
271973646,5,Allen Sullivan,32,56,40,0,1,Henry Rose,32,56,40,0,1,Jesse Reed,32,56,40,1,0,Heather Campbell,32,56,40,1,0,Steven Smith,32,56,40,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
271995684,4,Megan Walton,nan,nan,nan,1,0,Catherine Sandoval,37,51,40,0,1,Brittany Vazquez,37,51,40,1,0,Samantha Anderson,37,51,40,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,True,False,False,cp,ca,cp,,,,,,
271968363,6,Barry Stephens,18,74,55,1,0,Beverly Perry,nan,nan,nan,1,0,Kyle Mcdonald,18,74,55,1,0,Joseph Watts,18,74,55,0,1,Donald Cruz,18,74,55,0,1,Michael Johnson,18,74,55,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,True,False,False,ca,ca,cp,cp,ca,,,,
272176769,5,Dr. Robert White,15,54,45,1,0,Joseph Copeland,15,54,45,1,0,Corey Green,15,54,45,0,1,Raymond Galvan,15,54,45,1,0,Patricia Ali,15,54,45,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,True,False,False,False,False,,,,,,,,,
